shit,-0.110044,5.2E-186
bitch,-0.103248,5.81E-167
damn,-0.085421,8.02E-113
hell,-0.083178,8.1E-107
bitches,-0.082082,2.53E-104
ass,-0.080282,5.89E-100
fucked,-0.080148,5.92E-98
wtf,-0.077224,7.67E-92
fuck you,-0.075006,9.81E-86
fuckin,-0.074821,3.19E-85
bullshit,-0.074243,2.55E-85
a bitch,-0.071405,8.15E-79
this shit,-0.069956,3.41E-75
pissed,-0.069776,1.07E-74
fucked up,-0.069533,1E-73
piss,-0.062877,1.9E-60
fuck off,-0.062009,1.47E-58
kill,-0.061556,4.3E-57
what the fuck,-0.060842,5.02E-56
shitty,-0.058565,4.89E-52
the hell,-0.058522,5.32E-52
so fucking,-0.05835,1.72E-51
fuck up,-0.057825,1.47E-50
drunk,-0.056818,6.31E-49
give a fuck,-0.052026,1.61E-40
bastard,-0.051304,3.41E-39
fucks,-0.050882,1.25E-38
dick,-0.0507,5.63E-38
f,-0.050502,3.87E-38
fake,-0.049961,4.47E-37
whore,-0.049118,8.98E-36
pissed off,-0.049027,1.04E-35
fucking hate,-0.048567,6.32E-35
asshole,-0.048128,2.75E-34
niggas,-0.047695,1.41E-33
the fuck up,-0.047661,1.42E-33
stupid,-0.047569,2.09E-32
sex,-0.047404,3.06E-33
as hell,-0.047166,6.97E-33
dead,-0.047057,2.32E-32
my ass,-0.0469,1.48E-32
i hate,-0.046774,1.04E-30
cunt,-0.046526,7.34E-32
fucker,-0.045686,1.39E-30
hate,-0.04557,3.48E-29
fuckers,-0.045343,3.76E-30
i fucking hate,-0.045108,8.7E-30
fuckin ',-0.045018,1.2E-29
to kill,-0.044813,2.65E-29
the fuck is,-0.044645,5E-29
bloody,-0.044484,5.08E-29
get the fuck,-0.044122,1.94E-28
wtf ?,-0.04389,3.78E-28
pussy,-0.043575,1.46E-27
pathetic,-0.0434,2.22E-27
the fuck out,-0.043332,2.73E-27
hoes,-0.043262,3.59E-27
nigga,-0.042901,1.49E-26
punch,-0.042768,1.59E-26
stfu,-0.042285,6.92E-26
like shit,-0.04212,1.3E-25
suck,-0.041894,4.64E-25
die,-0.041859,5.73E-25
fat,-0.041711,3.54E-25
swear,-0.041706,1.01E-24
i swear,-0.041682,1.06E-24
don't give a,-0.041265,1.44E-24
shut,-0.041245,1.52E-24
murder,-0.041123,2.26E-24
f *,-0.041092,2.56E-24
knife,-0.040875,5.54E-24
*,-0.040701,1.57E-23
smoke,-0.040652,1.06E-23
why the fuck,-0.04065,1.21E-23
shut up,-0.040596,1.52E-23
wtf is,-0.040485,1.69E-23
motherfucker,-0.040394,2.57E-23
cum,-0.040384,2.21E-23
goddamn,-0.040358,3.07E-23
burn,-0.039965,8.89E-23
aint,-0.039904,1.56E-22
sick of,-0.039711,2.56E-22
death,-0.039681,2.38E-22
assholes,-0.039563,2.3E-22
lmao,-0.03952,3.7E-22
shut the fuck,-0.039294,5.84E-22
bastards,-0.038863,2.17E-21
porn,-0.038853,1.91E-21
haters,-0.038852,1.9E-21
rape,-0.038748,3.28E-21
to piss,-0.037807,3.61E-20
idiots,-0.03776,3.98E-20
a bitch .,-0.037664,5.44E-20
piss me,-0.037654,5.72E-20
drink,-0.037602,6.72E-20
damned,-0.037535,8.06E-20
who the fuck,-0.037395,1.26E-19
retarded,-0.03738,2.03E-19
,,
birthday wishes !,0.036052,1.17E-17
at church,0.036221,2.86E-18
joy,0.036244,4.74E-18
grateful,0.036311,1.21E-17
hope everyone,0.036494,5.5E-18
so thankful,0.03655,2.73E-18
had an amazing,0.036551,2.1E-18
beautiful day !,0.036661,2.36E-18
happy,0.036828,1.5E-18
much fun,0.036835,2.13E-18
of christ,0.03684,5.91E-19
so excited !,0.036854,2.01E-18
an amazing day,0.036882,6.41E-19
isaiah,0.036972,3.68E-19
a great weekend,0.037397,3.92E-19
faith,0.037415,1.25E-19
thank,0.037443,6.65E-19
loving,0.037457,3.75E-19
of the lord,0.037467,1.08E-19
family,0.037646,1.11E-18
friends and family,0.038119,3.27E-19
spring,0.03818,2E-20
! can't wait,0.038205,2.91E-20
tomorrow,0.038442,9.64E-21
a blast,0.038615,6.42E-21
day today,0.038672,4.14E-21
praying for,0.03893,3.33E-21
birthday wishes,0.038949,2E-20
was awesome,0.038959,1.81E-21
christmas,0.039013,4.11E-21
beautiful,0.039074,8.31E-21
the lord is,0.03908,1.09E-21
a beautiful,0.039221,1E-20
worship,0.039669,1.9E-22
praying,0.040041,1.81E-22
had an awesome,0.040044,8.05E-23
a beautiful day,0.040129,3.2E-22
much fun !,0.040132,1.04E-22
"the lord,",0.040261,3.89E-23
awesome,0.04033,3.82E-23
romans,0.040361,2.19E-23
a wonderful day,0.040367,1.15E-22
grace,0.040492,1.91E-23
was awesome !,0.040579,1.54E-23
amazing day,0.040586,2.07E-23
a great time,0.040654,3.06E-23
thank you lord,0.040798,1.22E-23
please pray for,0.040923,1.16E-23
happy thanksgiving,0.04147,3.65E-24
great time,0.04158,1.94E-24
love you,0.042026,5.73E-24
great weekend,0.042072,4.92E-25
god's,0.042179,1.91E-25
so blessed,0.042207,3.87E-25
wonderful day,0.04224,4.65E-25
goodness,0.042302,2.19E-25
please pray,0.042341,1.94E-25
in the lord,0.042495,3.69E-26
had a wonderful,0.042606,2.42E-25
:),0.042709,1.82E-24
pray,0.043811,2.74E-27
beautiful day,0.043987,6.55E-27
thankful for,0.044063,8.51E-27
praise god,0.04423,1.97E-28
prayer,0.044274,8.11E-27
great day !,0.044518,2.29E-28
blessings,0.044847,6.16E-28
was amazing !,0.044886,3.97E-29
corinthians,0.045006,9.94E-30
great,0.045009,2.37E-29
pray for,0.04512,6.55E-29
you lord,0.045141,1.42E-29
thankful,0.045906,5.21E-29
god has,0.046074,1.74E-30
praise,0.046463,1.29E-31
church,0.04652,7.16E-32
was amazing,0.046911,8.96E-32
merry christmas,0.047137,2.23E-32
proverbs,0.047549,2E-33
a great day,0.048621,4.49E-34
love you all,0.048655,1.82E-34
so excited,0.048739,6.07E-33
! thank you,0.048788,2.19E-34
psalm,0.049001,1.22E-35
thanksgiving,0.04938,3.93E-35
in christ,0.049739,8.04E-37
thank you,0.050974,2.91E-37
excited for,0.051146,1.9E-37
great day,0.052462,2.18E-40
an amazing,0.052477,7.23E-41
had a great,0.052764,9.38E-41
the lord,0.05295,8.34E-42
an awesome,0.053257,1.41E-42
a wonderful,0.054659,1.91E-41
prayers,0.056504,3.91E-45
amazing,0.056682,9.91E-48
wonderful,0.056881,1.03E-44
a great,0.056981,1.2E-47
blessed,0.057403,1.01E-45
excited,0.059002,8.55E-49
